company_name;ticker;ticker_company
ITAUUNIBANCO;ITUB3;ITUB3-ITAUUNIBANCO
ITAUUNIBANCO;ITUB4;ITUB4-ITAUUNIBANCO
J B DUARTE;JBDU3;JBDU3-J B DUARTE
J B DUARTE;JBDU4;JBDU4-J B DUARTE
JBS;JBSS3;JBSS3-JBS
JOAO FORTES;JFEN3;JFEN3-JOAO FORTES
JHSF PART;JHSF3;JHSF3-JHSF PART
JOHNSON;JNJB34;JNJB34-JOHNSON
JPMORGAN;JPMC34;JPMC34-JPMORGAN
JEREISSATI;JPSA3;JPSA3-JEREISSATI
JSL;JSLG3;JSLG3-JSL
KOHLS CORP;K1SS34;K1SS34-KOHLS CORP
KEPLER WEBER;KEPL3;KEPL3-KEPLER WEBER
KLABIN S-A;KLBN3;KLBN3-KLABIN S-A
KLABIN S-A;KLBN4;KLBN4-KLABIN S-A
KLABIN S-A;KLBN11;KLBN11-KLABIN S-A
LOJAS AMERIC;LAME3;LAME3-LOJAS AMERIC
LOJAS AMERIC;LAME4;LAME4-LOJAS AMERIC
LOCAMERICA;LCAM3;LCAM3-LOCAMERICA
METAL LEVE;LEVE3;LEVE3-METAL LEVE
LIGHT S-A;LIGT3;LIGT3-LIGHT S-A
LINX;LINX3;LINX3-LINX
ELETROPAR;LIPR3;LIPR3-ELETROPAR
LE LIS BLANC;LLIS3;LLIS3-LE LIS BLANC
LOG COM PROP;LOGG3;LOGG3-LOG COM PROP
LOG-IN;LOGN3;LOGN3-LOG-IN
LOPES BRASIL;LPSB3;LPSB3-LOPES BRASIL
LOJAS RENNER;LREN3;LREN3-LOJAS RENNER
TREVISA;LUXM4;LUXM4-TREVISA
MACY S;MACY34;MACY34-MACY S
MCDONALDS;MCDC34;MCDC34-MCDONALDS
M.DIASBRANCO;MDIA3;MDIA3-M.DIASBRANCO
IMC S-A;MEAL3;MEAL3-IMC S-A
MERCADOLIBRE;MELI34;MELI34-MERCADOLIBRE
MERC FINANC;MERC4;MERC4-MERC FINANC
MANGELS INDL;MGEL4;MGEL4-MANGELS INDL
MAGAZ LUIZA;MGLU3;MGLU3-MAGAZ LUIZA
MILLS;MILS3;MILS3-MILLS
MUNDIAL;MNDL3;MNDL3-MUNDIAL
MINUPAR;MNPR3;MNPR3-MINUPAR
MONT ARANHA;MOAR3;MOAR3-MONT ARANHA
MOVIDA;MOVI3;MOVI3-MOVIDA
MARFRIG;MRFG3;MRFG3-MARFRIG
MRV;MRVE3;MRVE3-MRV
MASTERCARD;MSCD34;MSCD34-MASTERCARD
MICROSOFT;MSFT34;MSFT34-MICROSOFT
METISA;MTSA4;MTSA4-METISA
MULTIPLAN;MULT3;MULT3-MULTIPLAN
MICRON TECHN;MUTC34;MUTC34-MICRON TECHN
IOCHP-MAXION;MYPK3;MYPK3-IOCHP-MAXION
NEOENERGIA;NEOE3;NEOE3-NEOENERGIA
NETFLIX;NFLX34;NFLX34-NETFLIX
NORDON MET;NORD3;NORD3-NORDON MET
GRUPO NATURA;NTCO3;NTCO3-GRUPO NATURA
ODONTOPREV;ODPV3;ODPV3-ODONTOPREV
OUROFINO S-A;OFSA3;OFSA3-OUROFINO S-A
OMEGA GER;OMGE3;OMGE3-OMEGA GER
IHPARDINI;PARD3;PARD3-IHPARDINI
P.ACUCAR-CBD;PCAR4;PCAR4-P.ACUCAR-CBD
PEPSICO INC;PEPB34;PEPB34-PEPSICO INC
PETROBRAS;PETR3;PETR3-PETROBRAS
PETROBRAS;PETR4;PETR4-PETROBRAS
PFIZER;PFIZ34;PFIZ34-PFIZER
PROFARMA;PFRM3;PFRM3-PROFARMA
PG;PGCO34;PGCO34-PG
PINE;PINE4;PINE4-PINE
PLASCAR PART;PLAS3;PLAS3-PLASCAR PART
PARANAPANEMA;PMAM3;PMAM3-PARANAPANEMA
DIMED;PNVL4;PNVL4-DIMED
MARCOPOLO;POMO3;POMO3-MARCOPOLO
MARCOPOLO;POMO4;POMO4-MARCOPOLO
POSITIVO TEC;POSI3;POSI3-POSITIVO TEC
PPLA;PPLA11;PPLA11-PPLA
PETRORIO;PRIO3;PRIO3-PETRORIO
PORTO SEGURO;PSSA3;PSSA3-PORTO SEGURO
PORTOBELLO;PTBL3;PTBL3-PORTOBELLO
PETTENATI;PTNT4;PTNT4-PETTENATI
PAYPAL HOLD;PYPL34;PYPL34-PAYPAL HOLD
QUALICORP;QUAL3;QUAL3-QUALICORP
RAIADROGASIL;RADL3;RADL3-RAIADROGASIL
RUMO S.A.;RAIL3;RAIL3-RUMO S.A.
CELUL IRANI;RANI3;RANI3-CELUL IRANI
CELUL IRANI;RANI4;RANI4-CELUL IRANI
RANDON PART;RAPT3;RAPT3-RANDON PART
RANDON PART;RAPT4;RAPT4-RANDON PART
RECRUSUL;RCSL3;RCSL3-RECRUSUL
RECRUSUL;RCSL4;RCSL4-RECRUSUL
RNI;RDNI3;RDNI3-RNI
REDE ENERGIA;REDE3;REDE3-REDE ENERGIA
LOCALIZA;RENT3;RENT3-LOCALIZA
COSAN LOG;RLOG3;RLOG3-COSAN LOG
INDS ROMI;ROMI3;ROMI3-INDS ROMI
ALFA HOLDING;RPAD3;RPAD3-ALFA HOLDING
ALFA HOLDING;RPAD5;RPAD5-ALFA HOLDING
ALFA HOLDING;RPAD6;RPAD6-ALFA HOLDING
ROSSI RESID;RSID3;RSID3-ROSSI RESID
RIOSULENSE;RSUL4;RSUL4-RIOSULENSE
SANTANDER BR;SANB3;SANB3-SANTANDER BR
SANTANDER BR;SANB4;SANB4-SANTANDER BR
SANTANDER BR;SANB11;SANB11-SANTANDER BR
SANEPAR;SAPR3;SAPR3-SANEPAR
SANEPAR;SAPR4;SAPR4-SANEPAR
SANEPAR;SAPR11;SAPR11-SANEPAR
SABESP;SBSP3;SBSP3-SABESP
STARBUCKS;SBUB34;SBUB34-STARBUCKS
SAO CARLOS;SCAR3;SCAR3-SAO CARLOS
SER EDUCA;SEER3;SEER3-SER EDUCA
SPRINGS;SGPS3;SGPS3-SPRINGS
TIME FOR FUN;SHOW3;SHOW3-TIME FOR FUN
SCHULZ;SHUL4;SHUL4-SCHULZ
SLC AGRICOLA;SLCE3;SLCE3-SLC AGRICOLA
SMILES;SMLS3;SMLS3-SMILES
SAO MARTINHO;SMTO3;SMTO3-SAO MARTINHO
SPRINGER;SPRI3;SPRI3-SPRINGER
SPRINGER;SPRI6;SPRI6-SPRINGER
SINQIA;SQIA3;SQIA3-SINQIA
SANTOS BRP;STBP3;STBP3-SANTOS BRP
SUL AMERICA;SULA3;SULA3-SUL AMERICA
SUL AMERICA;SULA4;SULA4-SUL AMERICA
SUL AMERICA;SULA11;SULA11-SUL AMERICA
SUZANO S.A.;SUZB3;SUZB3-SUZANO S.A.
TAESA;TAEE3;TAEE3-TAESA
TAESA;TAEE4;TAEE4-TAESA
TAESA;TAEE11;TAEE11-TAESA
TAURUS ARMAS;TASA3;TASA3-TAURUS ARMAS
TAURUS ARMAS;TASA4;TASA4-TAURUS ARMAS
TECNISA;TCSA3;TCSA3-TECNISA
TECHNOS;TECN3;TECN3-TECHNOS
TELEBRAS;TELB4;TELB4-TELEBRAS
TENDA;TEND3;TEND3-TENDA
TERRA SANTA;TESA3;TESA3-TERRA SANTA
TEXAS INC;TEXA34;TEXA34-TEXAS INC
TEGMA;TGMA3;TGMA3-TEGMA
AES TIETE E;TIET3;TIET3-AES TIETE E
AES TIETE E;TIET4;TIET4-AES TIETE E
AES TIETE E;TIET11;TIET11-AES TIETE E
TIM PART S-A;TIMP3;TIMP3-TIM PART S-A
TOTVS;TOTS3;TOTS3-TOTVS
TRISUL;TRIS3;TRIS3-TRISUL
TRAN PAULIST;TRPL3;TRPL3-TRAN PAULIST
TRAN PAULIST;TRPL4;TRPL4-TRAN PAULIST
TESLA INC;TSLA34;TSLA34-TESLA INC
TUPY;TUPY3;TUPY3-TUPY
UNICASA;UCAS3;UCAS3-UNICASA
ULTRAPAR;UGPA3;UGPA3-ULTRAPAR
UNITEDHEALTH;UNHH34;UNHH34-UNITEDHEALTH
UNIPAR;UNIP3;UNIP3-UNIPAR
UNIPAR;UNIP5;UNIP5-UNIPAR
UNIPAR;UNIP6;UNIP6-UNIPAR
USIMINAS;USIM3;USIM3-USIMINAS
USIMINAS;USIM5;USIM5-USIMINAS
US STEEL;USSX34;USSX34-US STEEL
VALE;VALE3;VALE3-VALE
VERIZON;VERZ34;VERZ34-VERIZON
VISA INC;VISA34;VISA34-VISA INC
VIVARA S.A.;VIVA3;VIVA3-VIVARA S.A.
TELEF BRASIL;VIVT3;VIVT3-TELEF BRASIL
TELEF BRASIL;VIVT4;VIVT4-TELEF BRASIL
VALID;VLID3;VLID3-VALID
VULCABRAS;VULC3;VULC3-VULCABRAS
VIAVAREJO;VVAR3;VVAR3-VIAVAREJO
WAL MART;WALM34;WALM34-WAL MART
WEG;WEGE3;WEGE3-WEG
WELLS FARGO;WFCO34;WFCO34-WELLS FARGO
WHIRLPOOL;WHRL3;WHRL3-WHIRLPOOL
WHIRLPOOL;WHRL4;WHRL4-WHIRLPOOL
WIZ S.A.;WIZS3;WIZS3-WIZ S.A.
WLM IND COM;WLMM3;WLMM3-WLM IND COM
WLM IND COM;WLMM4;WLMM4-WLM IND COM
WILSON SONS;WSON33;WSON33-WILSON SONS
XEROX CORP;XRXB34;XRXB34-XEROX CORP
YDUQS PART;YDUQ3;YDUQ3-YDUQS PART
ABBOTT;ABTT34;ABTT34-ABBOTT
AB INBEV;ABUD34;ABUD34-AB INBEV
ACCENTURE;ACNB34;ACNB34-ACCENTURE
ADOBE INC;ADBE34;ADBE34-ADOBE INC
AUTOMATIC DT;ADPR34;ADPR34-AUTOMATIC DT
AMGEN;AMGN34;AMGN34-AMGEN
ARCELOR;ARMT34;ARMT34-ARCELOR
ASML HOLD;ASML34;ASML34-ASML HOLD
BROADCOM INC;AVGO34;AVGO34-BROADCOM INC
ARMSTRONG;AWII34;AWII34-ARMSTRONG
AMERICAN EXP;AXPB34;AXPB34-AMERICAN EXP
BAUMER;BALM4;BALM4-BAUMER
BHP GROUP;BHPG34;BHPG34-BHP GROUP
BIOGEN;BIIB34;BIIB34-BIOGEN
BOOKING;BKNG34;BKNG34-BOOKING
BLACKROCK;BLAK34;BLAK34-BLACKROCK
BRISTOLMYERS;BMYB34;BMYB34-BRISTOLMYERS
BOEING;BOEI34;BOEI34-BOEING
BNY MELLON;BONY34;BONY34-BNY MELLON
ARCHER DANIE;A1DM34;A1DM34-ARCHER DANIE
ALEXION PHAR;A1LX34;A1LX34-ALEXION PHAR
ABBVIE;ABBV34;ABBV34-ABBVIE
ACTIVISION;ATVI34;ATVI34-ACTIVISION
BILBAOVIZ;BILB34;BILB34-BILBAOVIZ
BOSTON PROP;BOXP34;BOXP34-BOSTON PROP
BRASKEM;BRKM6;BRKM6-BRASKEM
BANRISUL;BRSR5;BRSR5-BANRISUL
CATERPILLAR;CATP34;CATP34-CATERPILLAR
CEDRO;CEDO3;CEDO3-CEDRO
CHARTER COMM;CHCM34;CHCM34-CHARTER COMM
CME GROUP;CHME34;CHME34-CME GROUP
CANAD NATION;CNIC34;CNIC34-CANAD NATION
COCA COLA;COCA34;COCA34-COCA COLA
COLGATE;COLG34;COLG34-COLGATE
CTRIPCOM;CRIP34;CRIP34-CTRIPCOM
CISCO;CSCO34;CSCO34-CISCO
COSERN;CSRN3;CSRN3-COSERN
CSX CORP;CSXC34;CSXC34-CSX CORP
KARSTEN;CTKA4;CTKA4-KARSTEN
DEUTSCHE AK;DBAG34;DBAG34-DEUTSCHE AK
DUPONT N INC;DDNB34;DDNB34-DUPONT N INC
DEERE CO;DEEC34;DEEC34-DEERE CO
DIAGEO PL;DEOP34;DEOP34-DIAGEO PL
DANAHER CORP;DHER34;DHER34-DANAHER CORP
DOHLER;DOHL4;DOHL4-DOHLER
DUKE ENERGY;DUKB34;DUKB34-DUKE ENERGY
EBAY;EBAY34;EBAY34-EBAY
EQUINIX INC;EQIX34;EQIX34-EQUINIX INC
EQTL PARA;EQPA5;EQPA5-EQTL PARA
FIDELITY NAT;F1NI34;F1NI34-FIDELITY NAT
FORD MOTORS;FDMO34;FDMO34-FORD MOTORS
FEDEX CORP;FDXB34;FDXB34-FEDEX CORP
FERBASA;FESA3;FESA3-FERBASA
GEN DYNAMICS;GDBR34;GDBR34-GEN DYNAMICS
GILEAD;GILD34;GILD34-GILEAD
GENERAL MOT;GMCO34;GMCO34-GENERAL MOT
GOLDMANSACHS;GSGI34;GSGI34-GOLDMANSACHS
HONEYWELL;HONB34;HONB34-HONEYWELL
HONDA MO;HOND34;HOND34-HONDA MO
HP COMPANY;HPQB34;HPQB34-HP COMPANY
ING GROEP;INGG34;INGG34-ING GROEP
INTUIT INC;INTU34;INTU34-INTUIT INC
JD COM;JDCO34;JDCO34-JD COM
KIMBERLY CL;KMBB34;KMBB34-KIMBERLY CL
KINDER MORGA;KMIC34;KMIC34-KINDER MORGA
LILLY;LILY34;LILY34-LILLY
LOCKHEED;LMTB34;LMTB34-LOCKHEED
LOWES COMPA;LOWC34;LOWC34-LOWES COMPA
MOODYS CORP;MCOR34;MCOR34-MOODYS CORP
MONDELEZ INT;MDLZ34;MDLZ34-MONDELEZ INT
MEDTRONIC;MDTC34;MDTC34-MEDTRONIC
METLIFE INC;METB34;METB34-METLIFE INC
3M;MMMC34;MMMC34-3M
ALTRIA GROUP;MOOO34;MOOO34-ALTRIA GROUP
MOSAIC CO;MOSC34;MOSC34-MOSAIC CO
MERCK;MRCK34;MRCK34-MERCK
METISA;MTSA3;MTSA3-METISA
NEXTERA ENER;NEXT34;NEXT34-NEXTERA ENER
NIKE;NIKE34;NIKE34-NIKE
NORTHROP GRU;NOCG34;NOCG34-NORTHROP GRU
NOKIA CORP;NOKI34;NOKI34-NOKIA CORP
NVIDIA CORP;NVDC34;NVDC34-NVIDIA CORP
ORACLE;ORCL34;ORCL34-ORACLE
OCCIDENT PTR;OXYP34;OXYP34-OCCIDENT PTR
PAR AL BAHIA;PEAB3;PEAB3-PAR AL BAHIA
PAR AL BAHIA;PEAB4;PEAB4-PAR AL BAHIA
PHILIP MORRI;PHMO34;PHMO34-PHILIP MORRI
PNCFNANCIAL;PNCS34;PNCS34-PNCFNANCIAL
DIMED;PNVL3;PNVL3-DIMED
QUALCOMM;QCOM34;QCOM34-QUALCOMM
RD SHELL;RDSA34;RDSA34-RD SHELL
RIO TINTO;RIOT34;RIOT34-RIO TINTO
ROSS STORES;ROST34;ROST34-ROSS STORES
SYNCHRONY FI;S1YF34;S1YF34-SYNCHRONY FI
SAP SE;SAPP34;SAPP34-SAP SE
SCHWAB;SCHW34;SCHW34-SCHWAB
SIMON PROP;SIMN34;SIMN34-SIMON PROP
SCHLUMBERGER;SLBG34;SLBG34-SCHLUMBERGER
SONY CORP;SNEC34;SNEC34-SONY CORP
SONDOTECNICA;SOND6;SOND6-SONDOTECNICA
SP GLOBAL;SPGI34;SPGI34-SP GLOBAL
SIRIUS XM HD;SRXM34;SRXM34-SIRIUS XM HD
SALESFORCE;SSFO34;SSFO34-SALESFORCE
CONSTELLATIO;STZB34;STZB34-CONSTELLATIO
TAKEDAPH;TAKP34;TAKP34-TAKEDAPH
TELEBRAS;TELB3;TELB3-TELEBRAS
TJX COMPANIE;TJXC34;TJXC34-TJX COMPANIE
TELEFONIC;TLNC34;TLNC34-TELEFONIC
TOYOTAMO;TMCO34;TMCO34-TOYOTAMO
THERMFISCHER;TMOS34;TMOS34-THERMFISCHER
TAIWANSMFAC;TSMC34;TSMC34-TAIWANSMFAC
TYSON FOODS;TSNF34;TSNF34-TYSON FOODS
TWITTER;TWTR34;TWTR34-TWITTER
UBER TECH IN;U1BE34;U1BE34-UBER TECH IN
UBS GROUP;UBSG34;UBSG34-UBS GROUP
UNILEVER;ULEV34;ULEV34-UNILEVER
UNIONPACIFIC;UPAC34;UPAC34-UNIONPACIFIC
UPS;UPSS34;UPSS34-UPS
US BANCORP;USBC34;USBC34-US BANCORP
USIMINAS;USIM6;USIM6-USIMINAS
UNITED TECH;UTEC34;UTEC34-UNITED TECH
VF CORP;VFCO34;VFCO34-VF CORP
VERISIGN INC;VRSN34;VRSN34-VERISIGN INC
VERTEX PHARM;VRTX34;VRTX34-VERTEX PHARM
WESTERN DIG;W1DC34;W1DC34-WESTERN DIG
WALGREENS;WGBA34;WGBA34-WALGREENS
ADVANCED MIC;A1MD34;A1MD34-ADVANCED MIC
APPLIED MATE;A1MT34;A1MT34-APPLIED MATE
AMERICAN AIR;AALL34;AALL34-AMERICAN AIR
SPTURIS;AHEB3;AHEB3-SPTURIS
ARCONIC;ARNC34;ARNC34-ARCONIC
BEST BUY;BBYY34;BBYY34-BEST BUY
MERC INVEST;BMIN4;BMIN4-MERC INVEST
CELPE;CEPE5;CEPE5-CELPE
CESP;CESP5;CESP5-CESP
COELCE;COCE3;COCE3-COELCE
